Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
2534509 COIL/SOLENOID VALVE        ,27.74,3.0,1.2,216.0,10,75,328.74,476.67,429.01
2539302F BLOWER HOUSING            ,52.73,1.0,1.0,60.0,10,75,197.73,286.71,258.04
2539302FSS BLOWER HOUSING          ,187.02,1.0,1.0,60.0,10,75,332.02,481.43,433.29
25393-05 BLOWER SHELL              ,16.93,1.0,1.0,60.0,10,75,161.93,234.8,211.32
2539309S  BLOWER HOUSING           ,175.71,1.0,1.0,60.0,10,75,320.71,465.03,418.53
2545132 HEAT EXCHANGER ASSY        ,779.25,1.0,1.0,60.0,10,75,924.25,1340.16,1206.15
2545134 PRESSURE SWITCH            ,203.3,1.0,1.0,60.0,10,75,348.3,505.04,454.53
2545136 MAIN PCB                   ,450.14,1.0,1.0,60.0,10,75,595.14,862.95,776.66
2545136S MAIN PCB                  ,455.84,1.0,1.0,60.0,10,75,600.84,871.22,784.1
2545137 SERVICE PCB                ,45.43,1.0,1.0,60.0,10,75,190.43,276.12,248.51
2545139 THERMISTOR ASSY            ,80.83,1.0,1.0,60.0,10,75,225.83,327.45,294.71
2545146 THERMISTOR ASSY            ,90.32,1.0,1.0,60.0,10,75,235.32,341.21,307.09
2545639 DC FAN MOTOR               ,176.27,2.5,1.3,195.0,10,75,456.27,661.59,595.43
2545649 DC FAN MOTOR               ,217.86,2.5,1.3,195.0,10,75,497.86,721.9,649.71
2546827 MAIN PCB                   ,1077.49,1.0,1.0,60.0,10,75,1222.49,1772.61,1595.35
2546828 MAIN PCB                   ,1095.96,1.0,1.0,60.0,10,75,1240.96,1799.39,1619.45
2546830 MAIN PCB                   ,1095.96,1.0,1.0,60.0,10,75,1240.96,1799.39,1619.45
2559717 PCB BOARD ASSY             ,526.09,1.0,1.0,60.0,10,75,671.09,973.08,875.77
2561554 PCB ASSY                   ,38.82,1.0,1.0,60.0,10,75,183.82,266.54,239.89
2561809 PROPELLER FAN ASSEMBLY     ,9.97,1.0,1.0,60.0,10,75,154.97,224.71,202.24
2561832 PROPELLER FAN ASSEMBLY     ,42.95,1.0,1.0,60.0,10,75,187.95,272.53,245.27
2562613 PCB ASSY                   ,1454.46,1.0,1.0,60.0,10,75,1599.46,2319.22,2087.3
2562614 PCB ASSY                   ,1454.46,1.0,1.0,60.0,10,75,1599.46,2319.22,2087.3
257553J GASKET/ REDUCING JOINT     ,5.59,1.0,1.0,60.0,10,75,150.59,218.36,196.52
257709J REDUCING GASKET/JOINT      ,2.83,1.0,1.0,60.0,10,75,147.83,214.35,192.92
257712J GASKET/REDUCING JOINT      ,3.86,1.0,1.0,60.0,10,75,148.86,215.85,194.26
2820004S FLUE COLLECTOR BOX        ,119.08,1.0,1.0,60.0,10,75,264.08,382.92,344.62
2820005S FLUE COLLECTOR BOX        ,141.57,1.0,1.0,60.0,10,75,286.57,415.53,373.97
2820006S FLUE COLLECTOR BOX        ,142.9,1.0,1.0,60.0,10,75,287.9,417.45,375.71
28200-07S FLUE COLLECTOR BOX       ,142.25,1.0,1.0,60.0,10,75,287.25,416.51,374.86
28213-00S HEAT EXCHANGER           ,307.98,1.0,1.0,60.0,10,75,452.98,656.82,591.14
28213-01S HEAT EXCHANGER           ,385.52,1.0,1.0,60.0,10,75,530.52,769.25,692.33
28213-02S HEAT EXCHANGER           ,475.17,1.0,1.0,60.0,10,75,620.17,899.25,809.32
28213-03S HEAT EXCHANGER           ,585.65,1.0,1.0,60.0,10,75,730.65,1059.44,953.5
28213-04S HEAT EXCHANGER           ,211.65,1.0,1.0,60.0,10,75,356.65,517.14,465.43
"28646-04 COIL SEC.H/EXCHANG.14""    ",277.92,3.0,1.2,216.0,10,75,578.92,839.43,755.49
"28646-05 COIL SECD H/EXCHANG.17""   ",329.78,3.0,1.2,216.0,10,75,630.78,914.63,823.17
"28646-06 COIL SEC.H/EXCHANG.21""    ",409.7,3.0,1.2,216.0,10,75,710.7,1030.52,927.46
"2864607S COIL SEC.H/EXCHANG 24""    ",448.82,3.0,1.2,216.0,10,75,749.82,1087.24,978.52
2868411 HARNESS                    ,8.6,1.0,1.0,60.0,10,75,153.6,222.72,200.45
29213-00S HEAT EXCHANGER           ,308.98,1.0,1.0,60.0,10,75,453.98,658.27,592.44
29213-01S HEAT EXCHANGER           ,346.8,1.0,1.0,60.0,10,75,491.8,713.11,641.8
29213-02S HEAT EXCHANGER ASSY.     ,246.47,1.0,1.0,60.0,10,75,391.47,567.63,510.87
29213-03S HEAT EXC.ASSY. 3 CELL    ,351.88,1.0,1.0,60.0,10,75,496.88,720.48,648.43
29213-04S HEAT EXCHANGER           ,410.45,1.0,1.0,60.0,10,75,555.45,805.4,724.86
29213-05S HEAT EXCHANGER ASM.      ,367.42,1.0,1.0,60.0,10,75,512.42,743.01,668.71
29213-06S HEAT EXCHANGER           ,486.3,1.0,1.0,60.0,10,75,631.3,915.38,823.85
29213-07S HEAT EXCHANGER           ,535.53,1.0,1.0,60.0,10,75,680.53,986.77,888.09
29213-08S HEAT EXCHANGER           ,594.7,1.0,1.0,60.0,10,75,739.7,1072.56,965.31
29393-00 BLOWER SHELL ASSEMBLY     ,39.84,1.0,1.0,60.0,10,75,184.84,268.02,241.22
2P361563-3 INVERTER PCB 5 TON      ,502.6,1.0,1.0,60.0,10,75,647.6,939.02,845.12
3.5 KW HEATER FOR PTAC             ,95.86,1.0,1.0,60.0,10,75,240.86,349.25,314.32
"3/4"" SUCTION TUBE ADAPTER          ",7.75,1.0,1.0,60.0,10,75,152.75,221.49,199.34
3224000F MOTOR BASE PLATE          ,34.7,2.5,1.3,195.0,10,75,314.7,456.32,410.68
3239001F BRACKET                   ,25.02,1.0,1.0,60.0,10,75,170.02,246.53,221.88
3760202SLP ASM BLWR HSG            ,64.7,1.0,1.0,60.0,10,75,209.7,304.06,273.66
3E600193-1 CAPACITOR               ,45.3,1.0,1.0,60.0,10,75,190.3,275.94,248.34
3EA74081-1 CURRENT SENSOR          ,18.27,1.0,1.0,60.0,10,75,163.27,236.74,213.07
3P130357-15 CRANKCASE HEATER       ,5.94,1.0,1.0,60.0,10,75,150.94,218.86,196.98
3P356931-1 FAN MOTOR               ,379.38,2.5,1.3,195.0,10,75,659.38,956.1,860.49
3P357142-1 OIL SEPERATOR           ,196.94,1.0,1.0,60.0,10,75,341.94,495.81,446.23
3P357336-4 INVERTER PCB 2 TON      ,365.6,1.0,1.0,60.0,10,75,510.6,740.37,666.33
3P357336-5 INVERTER PCB 3 TON      ,373.36,1.0,1.0,60.0,10,75,518.36,751.62,676.46
3P362914-1 POWER CONDITIONER       ,144.5,1.0,1.0,60.0,10,75,289.5,419.78,377.8
3P381420-1 EV COIL                 ,10.41,3.0,1.2,216.0,10,75,311.41,451.54,406.39
3P381420-2 EEV COIL                ,12.46,3.0,1.2,216.0,10,75,313.46,454.52,409.07
3P381421-1 EVAP. COIL              ,17.36,3.0,1.2,216.0,10,75,318.36,461.62,415.46
3P381424-2 HIGH PRESURE SWITCH     ,38.78,1.0,1.0,60.0,10,75,183.78,266.48,239.83
3P381424-2S HIGH PRESSURE SWITCH   ,44.74,1.0,1.0,60.0,10,75,189.74,275.12,247.61
3P381575-1 THERMISTOR ASSY         ,26.19,1.0,1.0,60.0,10,75,171.19,248.23,223.4
3P381575-2 THERMISTOR ASSY         ,36.08,1.0,1.0,60.0,10,75,181.08,262.57,236.31
3P381576-1 THERMISTER AMBIENT      ,6.56,1.0,1.0,60.0,10,75,151.56,219.76,197.79
3P386786-3S-K PCB ASSY             ,502.11,1.0,1.0,60.0,10,75,647.11,938.31,844.48
3PMNDK02 PHASE MONITOR             ,188.1,1.0,1.0,60.0,10,75,333.1,483.0,434.7
3S400083-1S MOTORIZED VALVE COIL   ,20.49,3.0,1.2,216.0,10,75,321.49,466.16,419.54
4001095 EVAL COIL                  ,844.57,3.0,1.2,216.0,10,75,1145.57,1661.08,1494.97
4009122 FAN BLADE                  ,21.26,1.0,1.0,60.0,10,75,166.26,241.08,216.97
4009432 HEAT EXCHANGER COIL        ,283.27,3.0,1.2,216.0,10,75,584.27,847.19,762.47
4009498 FRONT GRILLE ASSY          ,298.22,1.0,1.0,60.0,10,75,443.22,642.67,578.4
4009582 BLOWER WHEEL               ,31.75,1.0,1.0,60.0,10,75,176.75,256.29,230.66
4015620 FRONT PLATE                ,63.44,1.0,1.0,60.0,10,75,208.44,302.24,272.01
4015722 PARTITION PLATE            ,14.33,1.0,1.0,60.0,10,75,159.33,231.03,207.93
4015879 OUTDOOR COIL ASSEMBLY      ,423.81,0.5,1.0,30.0,10,75,538.81,781.27,703.15
4016075 FRONT COVER ASSEMBLY       ,279.25,1.0,1.0,60.0,10,75,424.25,615.16,553.65
4016827 PROPELLR FAN ASSEMBLY      ,59.84,1.0,1.0,60.0,10,75,204.84,297.02,267.32
4017407 COND MOTOR                 ,145.67,2.5,1.3,195.0,10,75,425.67,617.22,555.5
4019342 COIL ASSEMBLY              ,280.57,3.0,1.2,216.0,10,75,581.57,843.28,758.95
4020647 PCB ASSY                   ,162.56,1.0,1.0,60.0,10,75,307.56,445.96,401.37
4020662 DISCHARGE GRILLE ASSY      ,79.6,1.0,1.0,60.0,10,75,224.6,325.67,293.1
4020700 TXV                        ,63.76,1.0,1.0,60.0,10,75,208.76,302.7,272.43
4021308S TUBE EXCHANGER            ,106.65,1.0,1.0,60.0,10,75,251.65,364.89,328.4
4021309S HEAT EXCHANGER 4 CELL     ,132.22,1.0,1.0,60.0,10,75,277.22,401.97,361.77
4021310S HEAT EXCH.                ,153.28,1.0,1.0,60.0,10,75,298.28,432.51,389.26
4022328 ASSY CONTROL BOX           ,830.37,1.0,1.0,60.0,10,75,975.37,1414.29,1272.86
40227-00S 2CELL BECKETT BURNER     ,41.58,1.0,1.0,60.0,10,75,186.58,270.54,243.49
40227-01S 3CELL BECKETT BURNER     ,47.5,1.0,1.0,60.0,10,75,192.5,279.12,251.21
40227-02S 4CELL BECKETT BURNER     ,49.81,1.0,1.0,60.0,10,75,194.81,282.47,254.23
40227-03S 5CELL BECKETT BURNER     ,59.93,1.0,1.0,60.0,10,75,204.93,297.15,267.43
40227-04S 6CELL BECKETT BURNER     ,58.52,1.0,1.0,60.0,10,75,203.52,295.1,265.59
4022878 HEAT EXCHANGER ASSY        ,799.32,1.0,1.0,60.0,10,75,944.32,1369.26,1232.34
4022879 HEAT EXCHANGER ASSY        ,962.37,1.0,1.0,60.0,10,75,1107.37,1605.69,1445.12
4022882 DC FAN MOTOR               ,264.79,2.5,1.3,195.0,10,75,544.79,789.95,710.95
4025335 HEAT EXCHANGER ASSY        ,511.93,1.0,1.0,60.0,10,75,656.93,952.55,857.29
4025338 HEAT EXCHANGER ASSY        ,1030.47,1.0,1.0,60.0,10,75,1175.47,1704.43,1533.99
4025969 FRONT COVER                ,319.17,1.0,1.0,60.0,10,75,464.17,673.05,605.74
4053501S CHIMNEY GMP               ,18.73,1.0,1.0,60.0,10,75,163.73,237.41,213.67
4111600S DRAIN PAN                 ,88.96,1.0,1.0,60.0,10,75,233.96,339.24,305.32
4305008S HEAT EXCHANGER            ,292.72,1.0,1.0,60.0,10,75,437.72,634.69,571.22
4305009S HEAT EXCHANGER APG/CGP    ,215.3,1.0,1.0,60.0,10,75,360.3,522.43,470.19
4305010S HEAT EXCHANGER            ,207.6,1.0,1.0,60.0,10,75,352.6,511.27,460.14
4305011S HEAT EXCHANGER            ,309.53,1.0,1.0,60.0,10,75,454.53,659.07,593.16
4305012S HEAT EXCH GPG             ,300.68,1.0,1.0,60.0,10,75,445.68,646.24,581.61
4305016S HEAT EXCHANGER            ,293.48,1.0,1.0,60.0,10,75,438.48,635.8,572.22
4305018S HEAT EXCHANGER            ,409.52,1.0,1.0,60.0,10,75,554.52,804.05,723.65
4305019S HEAT EXCHANGER            ,376.35,1.0,1.0,60.0,10,75,521.35,755.96,680.36
4305020S GPG HTG EXCHANGER         ,199.43,1.0,1.0,60.0,10,75,344.43,499.42,449.48
4305021S HEAT EXCH                 ,217.62,1.0,1.0,60.0,10,75,362.62,525.8,473.22
4400458PLGBS LOUVRD SIDE PANEL     ,89.67,1.0,1.0,60.0,10,75,234.67,340.27,306.24
4400464PLGB LOUVER PANEL ASZ       ,22.06,1.0,1.0,60.0,10,75,167.06,242.24,218.01
4400464PLGBS LOUVERED PANEL        ,81.63,1.0,1.0,60.0,10,75,226.63,328.61,295.75
4400466PLGBS                       ,99.13,1.0,1.0,60.0,10,75,244.13,353.99,318.59
"481000-5S FLUE COLLETOR BX 17.5""   ",145.29,1.0,1.0,60.0,10,75,290.29,420.92,378.83
"481000-6S FLUE COLLECTOR BOX 21""   ",154.27,1.0,1.0,60.0,10,75,299.27,433.94,390.55
"4810007S FLUE COLL BOX KIT 24.5""   ",185.14,1.0,1.0,60.0,10,75,330.14,478.7,430.83
48214-01S HEAT EXCHANGER           ,251.33,1.0,1.0,60.0,10,75,396.33,574.68,517.21
"48214-02S TUBE HT ASM 17.5""        ",287.3,1.0,1.0,60.0,10,75,432.3,626.84,564.15
48214-03S HEAT EXCHANGER           ,329.28,1.0,1.0,60.0,10,75,474.28,687.71,618.94
4P389796-1 THERMISTOR ASSY         ,21.68,1.0,1.0,60.0,10,75,166.68,241.69,217.52
4P389796-2S THERMISTOR             ,25.48,1.0,1.0,60.0,10,75,170.48,247.2,222.48
4SA27006-1 CHECK VALVE             ,36.63,1.5,1.2,108.0,10,75,229.63,332.96,299.67
4SA27011-1 CHECK VALVE             ,53.67,1.5,1.2,108.0,10,75,246.67,357.67,321.9
5 KW HEAT ELEMENT                  ,292.65,1.0,1.0,60.0,10,75,437.65,634.59,571.13
5 KW HTR ACNF                      ,87.6,1.0,1.0,60.0,10,75,232.6,337.27,303.54
"5/16"" PAINTED SCREWS BLACK 50PK    ",0.52,1.0,1.0,60.0,10,75,145.52,211.0,189.9
5011028 E9 COIL THERMISTOR         ,6.41,3.0,1.2,216.0,10,75,307.41,445.74,401.17
543001001S SIN/STAGE CLG MODULE    ,59.02,1.0,1.0,60.0,10,75,204.02,295.83,266.25
5660205S ASSY BLOWER SHELL         ,31.26,1.0,1.0,60.0,10,75,176.26,255.58,230.02
5660205SLP BLOWER/WHEEL            ,79.77,1.0,1.0,60.0,10,75,224.77,325.92,293.32
571006600S CORE SERVICE MODULE     ,76.92,1.0,1.0,60.0,10,75,221.92,321.78,289.61
6024012 THERMISTOR ASSY            ,18.43,1.0,1.0,60.0,10,75,163.43,236.97,213.28
6024015 THERMISTOR                 ,41.71,1.0,1.0,60.0,10,75,186.71,270.73,243.66
6024018 THERMISTOR                 ,33.1,1.0,1.0,60.0,10,75,178.1,258.24,232.42
6024907 EVAP COIL/HEAT EXCHANGER   ,199.49,3.0,1.2,216.0,10,75,500.49,725.71,653.14
6024911 COIL-HEAT EXCHANGER        ,323.29,3.0,1.2,216.0,10,75,624.29,905.22,814.7
6024925 FRONT ASSEMBLY             ,131.37,1.0,1.0,60.0,10,75,276.37,400.74,360.66
6024983 THERMAL INSULATION         ,44.19,1.0,1.0,60.0,10,75,189.19,274.33,246.89
6024986 PANEL ASSY.                ,58.49,1.0,1.0,60.0,10,75,203.49,295.06,265.55
6024987 SERVICE COVER ASSY         ,4.84,1.0,1.0,60.0,10,75,149.84,217.27,195.54
60343546 THERMAL OVERLOAD          ,3.25,1.0,1.0,60.0,10,75,148.25,214.96,193.47
"67924 CARBIDE IGNITER ""MARS""       ",28.51,1.0,1.0,60.0,10,75,173.51,251.59,226.43
"7/8"" SUCTION TUBE ADAPTER          ",11.23,1.0,1.0,60.0,10,75,156.23,226.53,203.88
"72950 2"" CONC VENT KIT             ",66.93,1.0,1.0,60.0,10,75,211.93,307.3,276.57
"72951 3"" CONC VENT KIT             ",87.9,1.0,1.0,60.0,10,75,232.9,337.7,303.93
764740 BLOWER BLOCK OFF 10X8       ,1.14,1.0,1.0,60.0,10,75,146.14,211.9,190.71
8 KW HEAT ELEMENT LG               ,71.08,1.0,1.0,60.0,10,75,216.08,313.32,281.98
8 KW HEAT ELEMENT LGR              ,91.67,1.0,1.0,60.0,10,75,236.67,343.17,308.85
A3468601 PRESSURE SWITCH HOSE      ,2.41,1.0,1.0,60.0,10,75,147.41,213.74,192.37
ACORN NUT BLACK                    ,0.63,1.0,1.0,60.0,10,75,145.63,211.16,190.05
AIR CONDITIONER MOTOR MOUNT ARM    ,2.43,2.5,1.3,195.0,10,75,282.43,409.52,368.57
AIR HANDLER BRACKET                ,2.14,1.0,1.0,60.0,10,75,147.14,213.35,192.02
ALCRKT01 ALUM REPAIR KIT           ,34.92,1.0,1.0,60.0,10,75,179.92,260.88,234.8
AMANALK01 AMANA LVR KIT 1.5/2      ,408.56,1.0,1.0,60.0,10,75,553.56,802.66,722.4
AMANALK02 PANEL KIT               ,428.0,1.0,1.0,60.0,10,75,573.0,830.85,747.76
AMP-DMH4-0400 HEPA FILTER          ,111.57,0.5,1.0,30.0,10,75,226.57,328.53,295.67
ASM.  HYDRONIC COIL TUBING         ,784.76,3.0,1.2,216.0,10,75,1085.76,1574.35,1416.92
AUXILLIARY LIMIT CONTROL           ,14.93,1.0,1.0,60.0,10,75,159.93,231.9,208.71
B10374-87 ELEMT SUB FOR B10374-6   ,76.29,1.0,1.0,60.0,10,75,221.29,320.87,288.78
B10374-88S/88 HEAT ELEMENT         ,95.56,1.0,1.0,60.0,10,75,240.56,348.81,313.93
B1037489S HEAT ELEMENT 15KW        ,122.03,1.0,1.0,60.0,10,75,267.03,387.19,348.47
B10375-10S HEATER ELEMENT          ,102.07,1.0,1.0,60.0,10,75,247.07,358.25,322.43
B1086748  FAN BLADE                ,29.74,1.0,1.0,60.0,10,75,174.74,253.37,228.04
"B1086748S  22"" FAN BLADE           ",32.05,1.0,1.0,60.0,10,75,177.05,256.72,231.05
B1086749  FAN BLADE                ,34.0,1.0,1.0,60.0,10,75,179.0,259.55,233.6
"B1086750S  FAN BLADE 22""           ",74.26,1.0,1.0,60.0,10,75,219.26,317.93,286.13
B10867-56  FAN BLADE               ,70.9,1.0,1.0,60.0,10,75,215.9,313.06,281.75
B10867-60 CONDENSER FAN BLADE      ,22.61,1.0,1.0,60.0,10,75,167.61,243.03,218.73
B10867-61 CONDENSER FAN BLADE      ,38.54,1.0,1.0,60.0,10,75,183.54,266.13,239.52
B1086765S FAN BLADE                ,70.49,1.0,1.0,60.0,10,75,215.49,312.46,281.21
B1086765SP FAN BLADE 4BLADE        ,68.44,1.0,1.0,60.0,10,75,213.44,309.49,278.54
B10867-68 FAN 3 BLADE              ,50.07,1.0,1.0,60.0,10,75,195.07,282.85,254.57
B10867-69 FAN BLADE                ,49.69,1.0,1.0,60.0,10,75,194.69,282.3,254.07
B10867-70S FAN BLADE               ,70.11,1.0,1.0,60.0,10,75,215.11,311.91,280.72
"B1086771S FAN BLAD 18"" XSERIES     ",41.98,1.0,1.0,60.0,10,75,186.98,271.12,244.01
B1086773 FAN BLADE *DISC*          ,47.98,1.0,1.0,60.0,10,75,192.98,279.82,251.84
"B1086773S FAN BLADE 22""            ",51.75,1.0,1.0,60.0,10,75,196.75,285.29,256.76
B1086775S FAN BLADE                ,53.25,1.0,1.0,60.0,10,75,198.25,287.46,258.72
B1086775S FAN BLADE SINGLE         ,53.25,1.0,1.0,60.0,10,75,198.25,287.46,258.72
B1086775SP FAN BLADE               ,53.25,1.0,1.0,60.0,10,75,198.25,287.46,258.72
B1104806      CAPACITOR    AMANA   ,31.6,1.0,1.0,60.0,10,75,176.6,256.07,230.46
B1104807 CAPACITOR                 ,21.81,1.0,1.0,60.0,10,75,166.81,241.87,217.69
B11416-54  TRANSFORMER             ,61.48,1.0,1.0,60.0,10,75,206.48,299.4,269.46
B1141663 TRANS 150VA 460V-230V     ,40.8,1.0,1.0,60.0,10,75,185.8,269.41,242.47
B11416-66 INDUCTOR                 ,38.38,1.0,1.0,60.0,10,75,183.38,265.9,239.31
B11416-70 START ASSIST             ,50.08,1.0,1.0,60.0,10,75,195.08,282.87,254.58
B11417-02  CONTROL CENTER          ,84.42,1.0,1.0,60.0,10,75,229.42,332.66,299.39
B11726-00  THERMOCOUPLE            ,10.2,1.0,1.0,60.0,10,75,155.2,225.04,202.54
B11726-05  FLAME SENSOR            ,6.33,1.0,1.0,60.0,10,75,151.33,219.43,197.49
B11726-07 BURNER SENSOR            ,72.4,1.0,1.0,60.0,10,75,217.4,315.23,283.71
B1219204 FILTER DRIER  BIFLOW      ,31.63,0.5,1.0,30.0,10,75,146.63,212.61,191.35
B12192-23 FILTER DRIER BI-FLOW     ,47.58,0.5,1.0,30.0,10,75,162.58,235.74,212.17
B1219227S BIFLOW DRIER             ,31.98,1.0,1.0,60.0,10,75,176.98,256.62,230.96
B1219301 MUFFLER 1/2X1/2           ,14.98,1.0,1.0,60.0,10,75,159.98,231.97,208.77
B12260-06 DEFROST TIMER SOLID ST   ,84.16,1.0,1.0,60.0,10,75,229.16,332.28,299.05
B12262-06  ACCUMULATOR             ,77.95,1.0,1.0,60.0,10,75,222.95,323.28,290.95
B12262-07  ACCUMULATOR             ,84.26,1.0,1.0,60.0,10,75,229.26,332.43,299.18
B12262-08 ACCUMULATOR              ,65.12,1.0,1.0,60.0,10,75,210.12,304.67,274.21
B1226212 ACCUMULATOR               ,226.11,1.0,1.0,60.0,10,75,371.11,538.11,484.3
B12273-08  REVERSING VALVE         ,96.41,1.5,1.2,108.0,10,75,289.41,419.64,377.68
B1227317S  REVERSING VALVE         ,130.1,1.5,1.2,108.0,10,75,323.1,468.5,421.65
B12273-18S  REVERSING VALVE        ,95.94,1.5,1.2,108.0,10,75,288.94,418.96,377.07
B12437-32  CRANKCASE HEATER        ,81.16,1.0,1.0,60.0,10,75,226.16,327.93,295.14
B12565-51  SEQUENCER   A-    5KW   ,23.25,1.0,1.0,60.0,10,75,168.25,243.96,219.57
B12565-52  SEQUENCER   A- 8/10KW   ,26.14,1.0,1.0,60.0,10,75,171.14,248.15,223.34
B12565-53  SEQUENCER   A-12/15KW   ,41.67,1.0,1.0,60.0,10,75,186.67,270.67,243.6
B12565-54  SEQUENCER   A-   20KW   ,42.67,1.0,1.0,60.0,10,75,187.67,272.12,244.91
B12565-58 SEQUENCER 5KW            ,15.04,1.0,1.0,60.0,10,75,160.04,232.06,208.85
B12565-59 SEQUENCER FOR AWUF       ,19.91,1.0,1.0,60.0,10,75,164.91,239.12,215.21
B12825-73 BASE VALVE LIQUID LINE   ,32.27,1.5,1.2,108.0,10,75,225.27,326.64,293.98
B12846-52 EXPANSION VALVE          ,79.89,1.5,1.2,108.0,10,75,272.89,395.69,356.12
B12846-57 EXPANSION VALVE          ,91.3,1.5,1.2,108.0,10,75,284.3,412.24,371.01
B13133-52 FLOWRATOR/STUB ASSY      ,9.4,1.0,1.0,60.0,10,75,154.4,223.88,201.49
B13400-249S MTR -1/3HP-460V PSC    ,188.73,1.0,1.0,60.0,10,75,333.73,483.91,435.52
B13400-269 MOTOR 380/460V CL60-4   ,198.17,2.5,1.3,195.0,10,75,478.17,693.35,624.01
B13400269SP MOTOR 380/460/50/60    ,205.6,2.5,1.3,195.0,10,75,485.6,704.12,633.71
B13400-317 MOTOR                   ,292.83,2.5,1.3,195.0,10,75,572.83,830.6,747.54
B13400-355S FAN MOTOR              ,362.86,2.5,1.3,195.0,10,75,642.86,932.15,838.93
B13400-701S CONDENSER MOTOR        ,210.54,2.5,1.3,195.0,10,75,490.54,711.28,640.15
B134009-08GB/S ECM MTR & END BEL   ,914.4,1.0,1.0,60.0,10,75,1059.4,1536.13,1382.52
B13400914GBS DIRECT DRIVE MOTOR    ,927.15,2.5,1.3,195.0,10,75,1207.15,1750.37,1575.33
B13607-13  HIGH PRESSURE SWITCH    ,47.59,1.0,1.0,60.0,10,75,192.59,279.26,251.33
B13607-17  LOW PRESSURE SWITCH     ,26.94,1.0,1.0,60.0,10,75,171.94,249.31,224.38
B13607-19  LOW PRESSURE SWITCH     ,27.35,1.0,1.0,60.0,10,75,172.35,249.91,224.92
B13607-21 HIGH PRESSURE SWITCH     ,43.83,1.0,1.0,60.0,10,75,188.83,273.8,246.42
B1368000S BLOWER WHEEL             ,72.1,1.0,1.0,60.0,10,75,217.1,314.79,283.32
B13680-16S BLOWER WHEEL            ,48.36,1.0,1.0,60.0,10,75,193.36,280.37,252.33
B13680-34S BLOWER WHEEL            ,36.07,1.0,1.0,60.0,10,75,181.07,262.55,236.3
B13680-35S BLOWER WHEEL            ,68.39,1.0,1.0,60.0,10,75,213.39,309.42,278.47
B13680-36S BLOWER WHEEL            ,46.82,1.0,1.0,60.0,10,75,191.82,278.14,250.33
B1368037S BLOWER WHEEL             ,42.34,1.0,1.0,60.0,10,75,187.34,271.64,244.48
B13680-42S BLOWER WHEEL            ,37.74,1.0,1.0,60.0,10,75,182.74,264.97,238.48
B13680-46S BLOWER WHEEL            ,34.39,1.0,1.0,60.0,10,75,179.39,260.12,234.1
B13680-47A BLOWER WHEEL            ,88.79,1.0,1.0,60.0,10,75,233.79,339.0,305.1
B1368047S  BLOWER WHEEL            ,66.49,1.0,1.0,60.0,10,75,211.49,306.66,275.99
B1368048S BLOWER WHEEL             ,60.15,1.0,1.0,60.0,10,75,205.15,297.47,267.72
B13680-51 BLOWER WHEEL             ,102.89,1.0,1.0,60.0,10,75,247.89,359.44,323.5
B13680-52  BLOWER WHEEL            ,149.66,1.0,1.0,60.0,10,75,294.66,427.26,384.53
B13680-54 BLOWER WHEEL 11 X 8 CW   ,51.0,1.0,1.0,60.0,10,75,196.0,284.2,255.78
B1368056SP BLOWER WHEEL            ,97.3,1.0,1.0,60.0,10,75,242.3,351.34,316.2
B13680-58S BLOWER WHEEL            ,38.16,1.0,1.0,60.0,10,75,183.16,265.58,239.02
B13682-50 TERMINAL BLOCK A-10KW    ,12.56,1.0,1.0,60.0,10,75,157.56,228.46,205.62
B13701-08  FLAME ROLL-OUT SWITCH   ,5.69,1.0,1.0,60.0,10,75,150.69,218.5,196.65
B13701-09  STACK OVERTEMP SWITCH   ,6.46,1.0,1.0,60.0,10,75,151.46,219.62,197.66
B13701-10  SPILLAGE SWITCH         ,4.44,1.0,1.0,60.0,10,75,149.44,216.69,195.02
B13701-13  AUX LIMIT CONTROL       ,11.11,1.0,1.0,60.0,10,75,156.11,226.36,203.72
B13701-15  LIMIT CONTROL           ,9.43,1.0,1.0,60.0,10,75,154.43,223.92,201.53
B13701-16  LIMIT CONTROL           ,13.28,1.0,1.0,60.0,10,75,158.28,229.51,206.56
B13701-26  AIR PRESSURE SWITCH     ,29.72,1.0,1.0,60.0,10,75,174.72,253.34,228.01
B13701-33  AIR PRESSURE SWITCH     ,29.72,1.0,1.0,60.0,10,75,174.72,253.34,228.01
B13701-42  AIR PRESSURE SWITCH     ,21.83,1.0,1.0,60.0,10,75,166.83,241.9,217.71
B13701-44 ROLLOUT SWITCH           ,7.74,1.0,1.0,60.0,10,75,152.74,221.47,199.33
B13701-45  ROLLOUT SWITCH          ,4.04,1.0,1.0,60.0,10,75,149.04,216.11,194.5
B13701-48  AIR PRESSURE SWITCH     ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
B13701-50  AIR PRESSURE SWITCH     ,30.15,1.0,1.0,60.0,10,75,175.15,253.97,228.57
B13701-54 ***SUB TO 53276****      ,8.54,1.0,1.0,60.0,10,75,153.54,222.63,200.37
B13701-55 AUX.LIMIT SWITCH         ,8.33,1.0,1.0,60.0,10,75,153.33,222.33,200.1
B13701-56 AIR PRESS/SWITCH GSMS    ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
